nlist,nprobe,recall,latency_us,build_time_ms,mpi_processes,omp_threads
64,1,0.489100,35817,255,8,4
64,2,0.675701,36585,255,8,4
64,4,0.817701,38866,255,8,4
64,8,0.918801,39230,255,8,4
64,16,0.970401,39860,255,8,4
64,32,0.995300,39739,255,8,4
64,64,0.999900,40801,255,8,4
128,1,0.437000,39544,206,8,4
128,2,0.611500,37267,206,8,4
128,4,0.769500,44702,206,8,4
128,8,0.883400,40940,206,8,4
128,16,0.950501,43466,206,8,4
128,32,0.985700,47698,206,8,4
128,64,0.998500,41803,206,8,4
256,1,0.388600,37652,249,8,4
256,2,0.555399,37677,249,8,4
256,4,0.709000,39155,249,8,4
256,8,0.832501,39432,249,8,4
256,16,0.914601,39479,249,8,4
256,32,0.968001,40499,249,8,4
256,64,0.991200,39727,249,8,4
512,1,0.353501,35237,348,8,4
512,2,0.495200,37852,348,8,4
512,4,0.656700,37685,348,8,4
512,8,0.790100,40753,348,8,4
512,16,0.890100,39031,348,8,4
512,32,0.946800,39348,348,8,4
512,64,0.981301,39408,348,8,4
