nlist,nprobe,M,efConstruction,efSearch,recall,latency_us,build_time_ms,mpi_processes,omp_threads
128,8,16,200,64,0.880199,167,2537,4,4
128,16,16,200,64,0.948399,313,2537,4,4
128,2,16,200,128,0.608599,104,2537,4,4
128,4,16,200,128,0.766799,135,2537,4,4
128,8,16,200,128,0.881799,263,2537,4,4
128,16,16,200,128,0.949999,478,2537,4,4
128,2,24,100,32,0.604400,51,1752,4,4
128,4,24,100,32,0.761199,69,1752,4,4
128,8,24,100,32,0.875599,124,1752,4,4
128,16,24,100,32,0.943599,3001,1752,4,4
128,2,24,100,64,0.607199,75,1752,4,4
128,4,24,100,64,0.764599,96,1752,4,4
128,8,24,100,64,0.879599,170,1752,4,4
128,16,24,100,64,0.947799,336,1752,4,4
128,2,24,100,128,0.608199,95,1752,4,4
128,4,24,100,128,0.766399,139,1752,4,4
128,8,24,100,128,0.881399,262,1752,4,4
128,16,24,100,128,0.949599,481,1752,4,4
128,2,24,200,32,0.605199,54,2779,4,4
128,4,24,200,32,0.762199,63,2779,4,4
128,8,24,200,32,0.876999,125,2779,4,4
128,16,24,200,32,0.944999,249,2779,4,4
128,2,24,200,64,0.607799,73,2779,4,4
128,4,24,200,64,0.765399,85,2779,4,4
128,8,24,200,64,0.880399,192,2779,4,4
128,16,24,200,64,0.948599,333,2779,4,4
128,2,24,200,128,0.608599,99,2779,4,4
128,4,24,200,128,0.766799,147,2779,4,4
128,8,24,200,128,0.881799,250,2779,4,4
128,16,24,200,128,0.949999,477,2779,4,4
256,2,8,100,32,0.557800,49,1588,4,4
256,4,8,100,32,0.704800,63,1588,4,4
256,8,8,100,32,0.829999,103,1588,4,4
256,16,8,100,32,0.909999,185,1588,4,4
256,2,8,100,64,0.562600,65,1588,4,4
256,4,8,100,64,0.711000,73,1588,4,4
256,8,8,100,64,0.837599,124,1588,4,4
256,16,8,100,64,0.918399,229,1588,4,4
256,2,8,100,128,0.565200,70,1588,4,4
256,4,8,100,128,0.713800,99,1588,4,4
256,8,8,100,128,0.840799,174,1588,4,4
256,16,8,100,128,0.921599,315,1588,4,4
256,2,8,200,32,0.558600,55,2218,4,4
256,4,8,200,32,0.705800,62,2218,4,4
256,8,8,200,32,0.831199,100,2218,4,4
256,16,8,200,32,0.911399,173,2218,4,4
256,2,8,200,64,0.563200,53,2218,4,4
256,4,8,200,64,0.711600,82,2218,4,4
256,8,8,200,64,0.838199,130,2218,4,4
256,16,8,200,64,0.918999,223,2218,4,4
256,2,8,200,128,0.565200,67,2218,4,4
256,4,8,200,128,0.713800,112,2218,4,4
256,8,8,200,128,0.840799,163,2218,4,4
256,16,8,200,128,0.921599,291,2218,4,4
256,2,16,100,32,0.561800,54,1549,4,4
256,4,16,100,32,0.710000,64,1549,4,4
256,8,16,100,32,0.836799,111,1549,4,4
256,16,16,100,32,0.917199,194,1549,4,4
256,2,16,100,64,0.564200,56,1549,4,4
256,4,16,100,64,0.712600,77,1549,4,4
256,8,16,100,64,0.839399,149,1549,4,4
256,16,16,100,64,0.920199,234,1549,4,4
256,2,16,100,128,0.565200,78,1549,4,4
256,4,16,100,128,0.713800,90,1549,4,4
256,8,16,100,128,0.840799,172,1549,4,4
256,16,16,100,128,0.921599,309,1549,4,4
256,2,16,200,32,0.562600,61,2385,4,4
256,4,16,200,32,0.710999,70,2385,4,4
256,8,16,200,32,0.837799,108,2385,4,4
256,16,16,200,32,0.918399,209,2385,4,4
256,2,16,200,64,0.564800,75,2385,4,4
256,4,16,200,64,0.713199,75,2385,4,4
256,8,16,200,64,0.839999,138,2385,4,4
256,16,16,200,64,0.920799,237,2385,4,4
256,2,16,200,128,0.565200,82,2385,4,4
256,4,16,200,128,0.713800,106,2385,4,4
256,8,16,200,128,0.840799,186,2385,4,4
256,16,16,200,128,0.921599,298,2385,4,4
256,2,24,100,32,0.562200,62,1489,4,4
256,4,24,100,32,0.710600,68,1489,4,4
256,8,24,100,32,0.837399,108,1489,4,4
256,16,24,100,32,0.917799,208,1489,4,4
256,2,24,100,64,0.564200,55,1489,4,4
256,4,24,100,64,0.712600,84,1489,4,4
256,8,24,100,64,0.839399,153,1489,4,4
256,16,24,100,64,0.920199,269,1489,4,4
256,2,24,100,128,0.565200,83,1489,4,4
256,4,24,100,128,0.713800,119,1489,4,4
256,8,24,100,128,0.840799,170,1489,4,4
256,16,24,100,128,0.921599,306,1489,4,4
256,2,24,200,32,0.563000,69,2450,4,4
256,4,24,200,32,0.711400,60,2450,4,4
256,8,24,200,32,0.838199,99,2450,4,4
256,16,24,200,32,0.918799,183,2450,4,4
256,2,24,200,64,0.564800,57,2450,4,4
256,4,24,200,64,0.713199,78,2450,4,4
256,8,24,200,64,0.839999,127,2450,4,4
256,16,24,200,64,0.920799,223,2450,4,4
256,2,24,200,128,0.565200,75,2450,4,4
256,4,24,200,128,0.713800,106,2450,4,4
256,8,24,200,128,0.840799,186,2450,4,4
256,16,24,200,128,0.921599,327,2450,4,4
