nlist,nprobe,recall,latency_us,build_time_ms,mpi_processes,omp_threads
64,1,0.489100,434,184,4,4
64,2,0.675701,1540,184,4,4
64,4,0.817701,790,184,4,4
64,8,0.918801,674,184,4,4
64,16,0.970401,669,184,4,4
64,32,0.995300,1234,184,4,4
64,64,0.999900,1767,184,4,4
128,1,0.437000,336,149,4,4
128,2,0.611500,268,149,4,4
128,4,0.769500,294,149,4,4
128,8,0.883400,1364,149,4,4
128,16,0.950501,414,149,4,4
128,32,0.985700,813,149,4,4
128,64,0.998500,934,149,4,4
256,1,0.388600,242,200,4,4
256,2,0.555399,1068,200,4,4
256,4,0.709000,1358,200,4,4
256,8,0.832501,256,200,4,4
256,16,0.914601,329,200,4,4
256,32,0.968001,753,200,4,4
256,64,0.991200,843,200,4,4
512,1,0.353501,164,1710,4,4
512,2,0.495200,149,1710,4,4
512,4,0.656700,119,1710,4,4
512,8,0.790100,252,1710,4,4
512,16,0.890100,167,1710,4,4
512,32,0.946800,265,1710,4,4
512,64,0.981301,450,1710,4,4
