M,efConstruction,efSearch,sharding_strategy,recall,latency_us,build_time_ms,mpi_processes,omp_threads
8,100,32,HASH_BASED,0.956376,60,924,4,4
8,100,64,HASH_BASED,0.985000,88,924,4,4
8,100,128,HASH_BASED,0.995500,140,924,4,4
8,100,256,HASH_BASED,0.999750,237,924,4,4
8,200,32,HASH_BASED,0.957625,59,1765,4,4
8,200,64,HASH_BASED,0.987125,73,1765,4,4
8,200,128,HASH_BASED,0.996250,135,1765,4,4
8,200,256,HASH_BASED,0.999375,217,1765,4,4
8,300,32,HASH_BASED,0.956251,54,2310,4,4
8,300,64,HASH_BASED,0.985750,81,2310,4,4
8,300,128,HASH_BASED,0.994875,156,2310,4,4
8,300,256,HASH_BASED,0.999000,224,2310,4,4
16,100,32,HASH_BASED,0.983625,66,1132,4,4
16,100,64,HASH_BASED,0.995375,100,1132,4,4
16,100,128,HASH_BASED,0.999500,143,1132,4,4
16,100,256,HASH_BASED,0.999875,250,1132,4,4
16,200,32,HASH_BASED,0.986625,62,2320,4,4
16,200,64,HASH_BASED,0.997125,99,2320,4,4
16,200,128,HASH_BASED,0.999375,169,2320,4,4
16,200,256,HASH_BASED,0.999875,285,2320,4,4
16,300,32,HASH_BASED,0.985625,82,3095,4,4
16,300,64,HASH_BASED,0.996750,106,3095,4,4
16,300,128,HASH_BASED,0.999375,163,3095,4,4
16,300,256,HASH_BASED,0.999875,293,3095,4,4
24,100,32,HASH_BASED,0.988875,83,1226,4,4
24,100,64,HASH_BASED,0.997250,122,1226,4,4
24,100,128,HASH_BASED,0.999375,178,1226,4,4
24,100,256,HASH_BASED,0.999875,309,1226,4,4
24,200,32,HASH_BASED,0.991000,83,2414,4,4
24,200,64,HASH_BASED,0.998375,93,2414,4,4
24,200,128,HASH_BASED,0.999500,169,2414,4,4
24,200,256,HASH_BASED,0.999875,336,2414,4,4
24,300,32,HASH_BASED,0.992125,80,3546,4,4
24,300,64,HASH_BASED,0.998375,126,3546,4,4
24,300,128,HASH_BASED,0.999625,181,3546,4,4
24,300,256,HASH_BASED,0.999875,302,3546,4,4
32,100,32,HASH_BASED,0.989375,68,1369,4,4
32,100,64,HASH_BASED,0.997000,111,1369,4,4
32,100,128,HASH_BASED,0.999250,172,1369,4,4
32,100,256,HASH_BASED,0.999875,303,1369,4,4
32,200,32,HASH_BASED,0.992625,106,2943,4,4
32,200,64,HASH_BASED,0.999000,133,2943,4,4
32,200,128,HASH_BASED,0.999500,329,2943,4,4
32,200,256,HASH_BASED,0.999875,367,2943,4,4
32,300,32,HASH_BASED,0.993375,107,6537,4,4
32,300,64,HASH_BASED,0.998625,128,6537,4,4
32,300,128,HASH_BASED,0.999625,237,6537,4,4
32,300,256,HASH_BASED,0.999875,427,6537,4,4
8,100,32,KMEANS_BASED,0.926126,59,1022,4,4
8,100,64,KMEANS_BASED,0.970001,68,1022,4,4
8,100,128,KMEANS_BASED,0.990750,135,1022,4,4
8,100,256,KMEANS_BASED,0.997875,217,1022,4,4
8,200,32,KMEANS_BASED,0.923126,66,2274,4,4
8,200,64,KMEANS_BASED,0.970501,88,2274,4,4
8,200,128,KMEANS_BASED,0.989625,154,2274,4,4
8,200,256,KMEANS_BASED,0.997875,297,2274,4,4
8,300,32,KMEANS_BASED,0.932375,66,2733,4,4
8,300,64,KMEANS_BASED,0.972625,68,2733,4,4
8,300,128,KMEANS_BASED,0.994625,130,2733,4,4
8,300,256,KMEANS_BASED,0.998500,229,2733,4,4
16,100,32,KMEANS_BASED,0.966876,69,1401,4,4
16,100,64,KMEANS_BASED,0.990375,107,1401,4,4
16,100,128,KMEANS_BASED,0.997875,151,1401,4,4
16,100,256,KMEANS_BASED,0.999750,259,1401,4,4
16,200,32,KMEANS_BASED,0.969251,65,2646,4,4
16,200,64,KMEANS_BASED,0.992750,99,2646,4,4
16,200,128,KMEANS_BASED,0.998125,158,2646,4,4
16,200,256,KMEANS_BASED,0.999625,280,2646,4,4
16,300,32,KMEANS_BASED,0.974750,68,3529,4,4
16,300,64,KMEANS_BASED,0.993125,104,3529,4,4
16,300,128,KMEANS_BASED,0.998625,199,3529,4,4
16,300,256,KMEANS_BASED,0.999875,313,3529,4,4
24,100,32,KMEANS_BASED,0.979126,81,1333,4,4
24,100,64,KMEANS_BASED,0.995000,106,1333,4,4
24,100,128,KMEANS_BASED,0.998625,187,1333,4,4
24,100,256,KMEANS_BASED,0.999625,343,1333,4,4
24,200,32,KMEANS_BASED,0.980876,95,2708,4,4
24,200,64,KMEANS_BASED,0.996875,150,2708,4,4
24,200,128,KMEANS_BASED,0.999625,236,2708,4,4
24,200,256,KMEANS_BASED,0.999875,460,2708,4,4
24,300,32,KMEANS_BASED,0.982626,82,4524,4,4
24,300,64,KMEANS_BASED,0.996625,133,4524,4,4
24,300,128,KMEANS_BASED,0.999375,211,4524,4,4
24,300,256,KMEANS_BASED,0.999875,394,4524,4,4
32,100,32,KMEANS_BASED,0.977751,1725,1517,4,4
32,100,64,KMEANS_BASED,0.994125,116,1517,4,4
32,100,128,KMEANS_BASED,0.997500,204,1517,4,4
32,100,256,KMEANS_BASED,0.999625,359,1517,4,4
32,200,32,KMEANS_BASED,0.984875,82,2629,4,4
32,200,64,KMEANS_BASED,0.997125,134,2629,4,4
32,200,128,KMEANS_BASED,0.999125,227,2629,4,4
32,200,256,KMEANS_BASED,0.999875,353,2629,4,4
32,300,32,KMEANS_BASED,0.986751,100,4302,4,4
32,300,64,KMEANS_BASED,0.997375,118,4302,4,4
32,300,128,KMEANS_BASED,0.999250,200,4302,4,4
32,300,256,KMEANS_BASED,0.999750,356,4302,4,4
