Method,Configuration,Recall,Latency(us)
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=4,0.297,77
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=8,0.2395,129
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=12,0.21,156
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=16,0.194,183
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=20,0.1815,248
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=24,0.1695,280
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=32,0.155,351
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=64,0.126,729
加载IVFPQ索引: nlist=128, d=96, m=16, ksub=256
IVF-PQ(Serial),nlist=128,m=16,nprobe=128,0.11,1375
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=4,0.3265,182
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=8,0.2635,334
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=12,0.2445,426
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=16,0.23,584
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=20,0.2125,675
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=24,0.2,808
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
IVF-PQ(Serial),nlist=128,m=32,nprobe=32,0.18,1045
加载IVFPQ索引: nlist=128, d=96, m=32, ksub=256
