Method,Configuration,Recall,Latency(us)
Flat-Search(暴力搜索),k=10,1,3409
Flat-Search-SIMD(SIMD优化暴力搜索),k=10,1,2507
HNSW(OpenMP),M=8,efC=100,efS=100,0.967,103
HNSW(OpenMP),M=8,efC=100,efS=200,0.9895,170
HNSW(OpenMP),M=8,efC=100,efS=300,0.9925,284
HNSW(OpenMP),M=8,efC=100,efS=400,0.995,296
HNSW(OpenMP),M=8,efC=100,efS=500,0.9965,453
HNSW(OpenMP),M=8,efC=150,efS=50,0.924,57
HNSW(OpenMP),M=8,efC=150,efS=100,0.966,81
HNSW(OpenMP),M=8,efC=150,efS=200,0.9915,190
HNSW(OpenMP),M=8,efC=150,efS=300,0.994,214
HNSW(OpenMP),M=8,efC=150,efS=400,0.997,367
HNSW(OpenMP),M=8,efC=150,efS=500,0.998,374
HNSW(OpenMP),M=8,efC=200,efS=50,0.9325,53
HNSW(OpenMP),M=8,efC=200,efS=100,0.9715,86
HNSW(OpenMP),M=8,efC=200,efS=200,0.992,153
HNSW(OpenMP),M=8,efC=200,efS=300,0.994,277
HNSW(OpenMP),M=8,efC=200,efS=400,0.9965,310
HNSW(OpenMP),M=8,efC=200,efS=500,0.9975,366
Method,Configuration,Recall,Latency(us)
Flat-Search(暴力搜索),k=10,1,3368
Flat-Search-SIMD(SIMD优化暴力搜索),k=10,1,2411
HNSW(Serial),M=16,efC=100,efS=50,0.969,65
HNSW(Serial),M=16,efC=100,efS=100,0.988,132
HNSW(Serial),M=16,efC=100,efS=200,0.998,213
HNSW(Serial),M=16,efC=100,efS=300,0.999,317
HNSW(Serial),M=16,efC=100,efS=400,1,583
HNSW(Serial),M=16,efC=100,efS=500,1,607
HNSW(Serial),M=16,efC=150,efS=50,0.9675,74
HNSW(Serial),M=16,efC=150,efS=100,0.991,131
HNSW(Serial),M=16,efC=150,efS=200,0.998,237
HNSW(Serial),M=16,efC=150,efS=300,0.9985,397
HNSW(Serial),M=16,efC=150,efS=400,0.9995,476
HNSW(Serial),M=16,efC=150,efS=500,0.9995,637
HNSW(Serial),M=16,efC=200,efS=50,0.9695,87
HNSW(Serial),M=16,efC=200,efS=100,0.9905,158
HNSW(Serial),M=16,efC=200,efS=200,0.999,264
HNSW(Serial),M=16,efC=200,efS=300,0.9995,427
HNSW(Serial),M=16,efC=200,efS=400,1,759
HNSW(Serial),M=16,efC=200,efS=500,1,622
HNSW(Serial),M=24,efC=100,efS=50,0.976,73
HNSW(Serial),M=24,efC=100,efS=100,0.994,133
HNSW(Serial),M=24,efC=100,efS=200,0.998,231
HNSW(Serial),M=24,efC=100,efS=300,0.999,481
HNSW(Serial),M=24,efC=100,efS=400,1,459
HNSW(Serial),M=24,efC=100,efS=500,1,582
HNSW(Serial),M=24,efC=150,efS=50,0.9755,77
HNSW(Serial),M=24,efC=150,efS=100,0.9945,130
HNSW(Serial),M=24,efC=150,efS=200,0.999,497
HNSW(Serial),M=24,efC=150,efS=300,0.9995,397
HNSW(Serial),M=24,efC=150,efS=400,1,532
HNSW(Serial),M=24,efC=150,efS=500,1,616
HNSW(Serial),M=24,efC=200,efS=50,0.9795,115
HNSW(Serial),M=24,efC=200,efS=100,0.995,136
HNSW(Serial),M=24,efC=200,efS=200,0.999,250
HNSW(Serial),M=24,efC=200,efS=300,1,507
HNSW(Serial),M=24,efC=200,efS=400,1,543
HNSW(Serial),M=24,efC=200,efS=500,1,1166
HNSW(Serial),M=8,efC=100,efS=50,0.921,40
HNSW(Serial),M=8,efC=100,efS=100,0.967,87
HNSW(Serial),M=8,efC=100,efS=200,0.9895,165
HNSW(Serial),M=8,efC=100,efS=300,0.9925,253
HNSW(Serial),M=8,efC=100,efS=400,0.995,266
HNSW(Serial),M=8,efC=100,efS=500,0.9965,365
HNSW(Serial),M=8,efC=150,efS=50,0.924,48
HNSW(Serial),M=8,efC=150,efS=100,0.966,123
HNSW(Serial),M=8,efC=150,efS=200,0.9915,165
HNSW(Serial),M=8,efC=150,efS=300,0.994,232
HNSW(Serial),M=8,efC=150,efS=400,0.997,270
HNSW(Serial),M=8,efC=150,efS=500,0.998,498
