Method,M,efC,efS,Recall,Latency(us)
HNSW(OpenMP),M=16,efC=100,efS=50,0.969,101
HNSW(OpenMP),M=16,efC=100,efS=100,0.988,150
HNSW(OpenMP),M=16,efC=100,efS=200,0.998,811
HNSW(OpenMP),M=16,efC=100,efS=300,0.999,975
HNSW(OpenMP),M=16,efC=100,efS=400,1,674
HNSW(OpenMP),M=16,efC=100,efS=500,1,906
HNSW(OpenMP),M=16,efC=150,efS=50,0.9675,116
HNSW(OpenMP),M=16,efC=150,efS=100,0.991,261
HNSW(OpenMP),M=16,efC=150,efS=200,0.998,355
HNSW(OpenMP),M=16,efC=150,efS=300,0.9985,427
HNSW(OpenMP),M=16,efC=150,efS=400,0.9995,580
HNSW(OpenMP),M=16,efC=150,efS=500,0.9995,682
HNSW(OpenMP),M=16,efC=200,efS=50,0.9695,89
HNSW(OpenMP),M=16,efC=200,efS=100,0.9905,209
HNSW(OpenMP),M=16,efC=200,efS=200,0.999,433
HNSW(OpenMP),M=16,efC=200,efS=300,0.9995,400
HNSW(OpenMP),M=16,efC=200,efS=400,1,727
HNSW(OpenMP),M=16,efC=200,efS=500,1,1024
HNSW(OpenMP),M=24,efC=100,efS=50,0.976,102
HNSW(OpenMP),M=24,efC=100,efS=100,0.994,194
HNSW(OpenMP),M=24,efC=100,efS=200,0.998,459
HNSW(OpenMP),M=24,efC=100,efS=300,0.999,456
HNSW(OpenMP),M=24,efC=100,efS=400,1,848
HNSW(OpenMP),M=24,efC=100,efS=500,1,899
HNSW(OpenMP),M=24,efC=150,efS=50,0.9755,99
HNSW(OpenMP),M=24,efC=150,efS=100,0.9945,271
HNSW(OpenMP),M=24,efC=150,efS=200,0.999,481
HNSW(OpenMP),M=24,efC=150,efS=300,0.9995,573
HNSW(OpenMP),M=24,efC=150,efS=400,1,692
HNSW(OpenMP),M=24,efC=150,efS=500,1,1351
HNSW(OpenMP),M=24,efC=200,efS=50,0.9795,756
HNSW(OpenMP),M=24,efC=200,efS=100,0.995,256
HNSW(OpenMP),M=24,efC=200,efS=200,0.999,520
HNSW(OpenMP),M=24,efC=200,efS=300,1,645
HNSW(OpenMP),M=24,efC=200,efS=400,1,969
HNSW(OpenMP),M=24,efC=200,efS=500,1,941
