algorithm,recall,latency,speedup
暴力串行,0.99995,16147.3,1.0
暴力并行（Neon）,0.99995,1015.31,15.9
SQ_Neon(openmp),0.97965,997.68,16.18
SQ_Neon,0.97965,7909.72,2.04
PQ8,0.23865,1210.82,13.34
PQ16+rerank(openmp),0.97565,580.73,27.8
PQ16+rerank,0.92711,2683.44,6.02
