Method,Configuration,Recall,Latency(us)
IVF_OMP_T8,N256_P8,0.924,317.38
IVF_OMP_T16,N256_P8,0.924,367.23
IVF_OMP_T1,N256_P12,0.951,1285.5
IVF_OMP_T2,N256_P12,0.951,686.32
IVF_OMP_T4,N256_P12,0.951,550.91
IVF_OMP_T8,N256_P12,0.951,684.23
IVF_OMP_T16,N256_P12,0.951,472.65
IVF_OMP_T1,N256_P16,0.966,1837.38
IVF_OMP_T2,N256_P16,0.966,1006.8
IVF_OMP_T4,N256_P16,0.966,893.94
IVF_OMP_T8,N256_P16,0.966,625.25
IVF_OMP_T16,N256_P16,0.966,521.81
IVF_OMP_T1,N256_P20,0.976,2235.74
IVF_OMP_T2,N256_P20,0.976,1184.97
IVF_OMP_T4,N256_P20,0.976,539.63
IVF_OMP_T8,N256_P20,0.976,584.11
IVF_OMP_T16,N256_P20,0.976,764.97
IVF_OMP_T1,N256_P32,0.99,3580.82
IVF_OMP_T2,N256_P32,0.99,1531.73
IVF_OMP_T4,N256_P32,0.99,876.46
IVF_OMP_T8,N256_P32,0.99,711.51
IVF_OMP_T16,N256_P32,0.99,728
IVF_OMP_T1,N512_P4,0.737,176.83
IVF_OMP_T2,N512_P4,0.737,188.3
IVF_OMP_T4,N512_P4,0.737,210.31
IVF_OMP_T8,N512_P4,0.737,175.12
IVF_OMP_T16,N512_P4,0.737,235.85
IVF_OMP_T1,N512_P8,0.846,399.46
IVF_OMP_T2,N512_P8,0.846,346.84
IVF_OMP_T4,N512_P8,0.846,326.46
IVF_OMP_T8,N512_P8,0.846,226.46
IVF_OMP_T16,N512_P8,0.846,293.65
IVF_OMP_T1,N512_P12,0.905,625.47
IVF_OMP_T2,N512_P12,0.905,411.18
IVF_OMP_T4,N512_P12,0.905,480.92
IVF_OMP_T8,N512_P12,0.905,400.98
IVF_OMP_T16,N512_P12,0.905,388.7
IVF_OMP_T1,N512_P16,0.925,1184.5
IVF_OMP_T2,N512_P16,0.925,482.81
IVF_OMP_T4,N512_P16,0.925,358.75
IVF_OMP_T8,N512_P16,0.925,326.53
IVF_OMP_T16,N512_P16,0.925,417.49
IVF_OMP_T1,N512_P20,0.947,1091.28
IVF_OMP_T2,N512_P20,0.947,580.73
IVF_OMP_T4,N512_P20,0.947,520.47
IVF_OMP_T8,N512_P20,0.947,446.47
IVF_OMP_T16,N512_P20,0.947,517.67
IVF_OMP_T1,N512_P32,0.975,2006.05
IVF_OMP_T2,N512_P32,0.975,1189.05
IVF_OMP_T4,N512_P32,0.975,612.98
IVF_OMP_T8,N512_P32,0.975,694.65
IVF_OMP_T16,N512_P32,0.975,521.49
